ls6500: Output directed to terminal and Log/Pre-irrad_3_141029_201411051631_462407.log
initialize ls6500
dataDir /Users/djaffe/work/GIT/LINDSEY/TechMaturation2014/LS6500/Pre-irrad_3_141029/ 
dataSubDir Pre-irrad_3_141029/
initialize spreadsheetReader
ls6500.Main: pickMode put
ls6500.processHeader: Found 192 total samples
ls6500.matchVialMeas: remove summary file MeasurementNo00187.xls from list
            Position          Sample Measurements
       S6_Position09       1000_4R34 ['Pre-irrad_3_141029/MeasurementNo00069.xls']
       S6_Position10       1002_4R35 ['Pre-irrad_3_141029/MeasurementNo00070.xls']
       S6_Position11       0050_FPMT ['Pre-irrad_3_141029/MeasurementNo00071.xls']
       S6_Position12       0050_RPMT ['Pre-irrad_3_141029/MeasurementNo00072.xls']
       S7_Position01       0050_1F11 ['Pre-irrad_3_141029/MeasurementNo00073.xls']
       S7_Position02       0052_1F12 ['Pre-irrad_3_141029/MeasurementNo00074.xls']
       S7_Position03       0050_2F11 ['Pre-irrad_3_141029/MeasurementNo00075.xls']
       S7_Position04       0052_2F12 ['Pre-irrad_3_141029/MeasurementNo00076.xls']
       S7_Position05       0050_3F11 ['Pre-irrad_3_141029/MeasurementNo00077.xls']
       S7_Position06       0052_3F12 ['Pre-irrad_3_141029/MeasurementNo00078.xls']
       S7_Position07           EMPTY ['Pre-irrad_3_141029/MeasurementNo00079.xls']
       S7_Position08       0050_4F11 ['Pre-irrad_3_141029/MeasurementNo00080.xls']
       S7_Position09       0052_4F12 ['Pre-irrad_3_141029/MeasurementNo00081.xls']
       S7_Position10       0100_1F22 ['Pre-irrad_3_141029/MeasurementNo00082.xls']
       S7_Position11       0102_1F21 ['Pre-irrad_3_141029/MeasurementNo00083.xls']
       S7_Position12       0100_2F22 ['Pre-irrad_3_141029/MeasurementNo00084.xls']
       S8_Position01       0102_2F21 ['Pre-irrad_3_141029/MeasurementNo00085.xls']
       S8_Position02       0100_3F22 ['Pre-irrad_3_141029/MeasurementNo00086.xls']
       S8_Position03       0102_3F21 ['Pre-irrad_3_141029/MeasurementNo00087.xls']
       S8_Position04       0100_4F22 ['Pre-irrad_3_141029/MeasurementNo00088.xls']
       S8_Position05       0102_4F21 ['Pre-irrad_3_141029/MeasurementNo00089.xls']
       S8_Position06       0140_1F31 ['Pre-irrad_3_141029/MeasurementNo00090.xls']
       S8_Position07       0142_1F26 ['Pre-irrad_3_141029/MeasurementNo00091.xls']
       S8_Position08           EMPTY ['Pre-irrad_3_141029/MeasurementNo00092.xls']
       S8_Position09       0140_2F31 ['Pre-irrad_3_141029/MeasurementNo00093.xls']
       S8_Position10       0142_2F26 ['Pre-irrad_3_141029/MeasurementNo00094.xls']
       S8_Position11       0140_3F31 ['Pre-irrad_3_141029/MeasurementNo00095.xls']
       S8_Position12       0142_3F26 ['Pre-irrad_3_141029/MeasurementNo00096.xls']
       S9_Position01       0140_4F31 ['Pre-irrad_3_141029/MeasurementNo00097.xls']
       S9_Position02       0142_4F26 ['Pre-irrad_3_141029/MeasurementNo00098.xls']
       S9_Position03       1000_1F36 ['Pre-irrad_3_141029/MeasurementNo00099.xls']
       S9_Position04       1002_1F32 ['Pre-irrad_3_141029/MeasurementNo00100.xls']
       S9_Position05       1000_2F36 ['Pre-irrad_3_141029/MeasurementNo00101.xls']
