ls6500: Output directed to terminal and Log/Pre-irrad_5_141031_201411051643_226973.log
Created Figures/Pre-irrad_5_141031/
initialize ls6500
dataDir /Users/djaffe/work/GIT/LINDSEY/TechMaturation2014/LS6500/Pre-irrad_5_141031/ 
dataSubDir Pre-irrad_5_141031/
initialize spreadsheetReader
ls6500.Main: pickMode put
ls6500.processHeader: columnIDs ['TrayID', 'Position01', 'Position02', 'Position03', 'Position04', 'Position05', 'Position06', 'Position07', 'Position08', 'Position09', 'Position10', 'Position11', 'Position12']
vial#   sampleName     position check of sample name Number of `no vial` slots to this slot
    0      STD_3_H S1_Position01 STD_3_H 0
  112    0052_3R12 S10_Position05 0052_3R12 0
  113    0050_4R11 S10_Position06 0050_4R11 0
  114    0052_4R12 S10_Position07 0052_4R12 0
  115    0100_1R22 S10_Position08 0100_1R22 0
  116    0102_1R21 S10_Position09 0102_1R21 0
  117        EMPTY S10_Position10 EMPTY 0
  118    0100_2R22 S10_Position11 0100_2R22 0
  119    0102_2R21 S10_Position12 0102_2R21 0
  120    0100_3R22 S11_Position01 0100_3R22 0
  121    0102_3R21 S11_Position02 0102_3R21 0
  122    0100_4R22 S11_Position03 0100_4R22 0
  123    0102_4R21 S11_Position04 0102_4R21 0
  124    0140_1R31 S11_Position05 0140_1R31 0
  125    0142_1R26 S11_Position06 0142_1R26 0
  126    0140_2R31 S11_Position07 0140_2R31 0
  127    0142_2R26 S11_Position08 0142_2R26 0
  128    0140_3R31 S11_Position09 0140_3R31 0
  129    0142_3R26 S11_Position10 0142_3R26 0
  130        EMPTY S11_Position11 EMPTY 0
  131    0140_4R31 S11_Position12 0140_4R31 0
  132    0142_4R26 S12_Position01 0142_4R26 0
  133    1000_1R36 S12_Position02 1000_1R36 0
  134    1002_1R32 S12_Position03 1002_1R32 0
  135    1000_2R36 S12_Position04 1000_2R36 0
  136    1002_2R32 S12_Position05 1002_2R32 0
  137    1000_3R36 S12_Position06 1000_3R36 0
  138    1002_3R32 S12_Position07 1002_3R32 0
  139    1000_4R36 S12_Position08 1000_4R36 0
  140    1002_4R32 S12_Position09 1002_4R32 0
  141    0050_1F16 S12_Position10 0050_1F16 0
  142    0052_1F17 S12_Position11 0052_1F17 0
  143        EMPTY S12_Position12 EMPTY 0
  144        EMPTY S13_Position01 EMPTY 0
  145    0050_2F16 S13_Position02 0050_2F16 0
  146        EMPTY S13_Position03 EMPTY 0
  147    0052_2F17 S13_Position04 0052_2F17 0
  148    0050_3F16 S13_Position05 0050_3F16 0
  149    0052_3F17 S13_Position06 0052_3F17 0
  150    0050_4F16 S13_Position07 0050_4F16 0
  151    0052_4F17 S13_Position08 0052_4F17 0
  152    0100_1F27 S13_Position09 0100_1F27 0
  153    0100_2F27 S13_Position10 0100_2F27 0
  154    0100_3F27 S13_Position11 0100_3F27 0
  155    0100_4F27 S13_Position12 0100_4F27 0
  156        EMPTY S14_Position01 EMPTY 0
  157    1000_1F37 S14_Position02 1000_1F37 0
  158    1000_2F37 S14_Position03 1000_2F37 0
  159        EMPTY S14_Position04 EMPTY 0
  160    1000_3F37 S14_Position05 1000_3F37 0
  161    1000_4F37 S14_Position06 1000_4F37 0
  162    0050_1R16 S14_Position07 0050_1R16 0
  163    0052_1R17 S14_Position08 0052_1R17 0
  164    0050_2R16 S14_Position09 0050_2R16 0
  165    0052_2R17 S14_Position10 0052_2R17 0
  166    0050_3R16 S14_Position11 0050_3R16 0
  167    0052_3R17 S14_Position12 0052_3R17 0
  168        EMPTY S15_Position01 EMPTY 0
  169    0050_4R16 S15_Position02 0050_4R16 0
  170    0052_4R17 S15_Position03 0052_4R17 0
  171    0100_1R27 S15_Position04 0100_1R27 0
  172        EMPTY S15_Position05 EMPTY 0
  173    0100_2R27 S15_Position06 0100_2R27 0
  174    0100_3R27 S15_Position07 0100_3R27 0
  175    0100_4R27 S15_Position08 0100_4R27 0
  176    1000_1R37 S15_Position09 1000_1R37 0
  177    1000_2R37 S15_Position10 1000_2R37 0
  178    1000_3R37 S15_Position11 1000_3R37 0
  179    1000_4R37 S15_Position12 1000_4R37 0
  180    0050_REF1 R1_Position01 0050_REF1 0
  181    0052_REF1 R1_Position02 0052_REF1 0
  182    0100_REF1 R1_Position03 0100_REF1 0
  183    0102_REF1 R1_Position04 0102_REF1 0
  184    0140_REF1 R1_Position05 0140_REF1 0
  185    0142_REF1 R1_Position06 0142_REF1 0
  186    1000_REF1 R1_Position07 1000_REF1 0
  187    1002_REF1 R1_Position08 1002_REF1 0
  188    0050_REF2 R1_Position09 0050_REF2 0
  189    0052_REF2 R1_Position10 0052_REF2 0
  190    0100_REF2 R1_Position11 0100_REF2 0
  191    0102_REF2 R1_Position12 0102_REF2 0
ls6500.processHeader: Found 192 total samples
ls6500.matchVialMeas: remove summary file MeasurementNo00193.xls from list
ls6500.matchVialMeas: remove summary file MeasurementNo00380.xls from list
            Position          Sample Measurements
       S1_Position01         STD_3_H ['Pre-irrad_5_141031/MeasurementNo00001.xls', 'Pre-irrad_5_141031/MeasurementNo00194.xls']
       S1_Position02       0050_1F13 ['Pre-irrad_5_141031/MeasurementNo00002.xls', 'Pre-irrad_5_141031/MeasurementNo00195.xls']
       S1_Position03       0052_1F14 ['Pre-irrad_5_141031/MeasurementNo00003.xls', 'Pre-irrad_5_141031/MeasurementNo00196.xls']
       S1_Position04       0050_2F13 ['Pre-irrad_5_141031/MeasurementNo00004.xls', 'Pre-irrad_5_141031/MeasurementNo00197.xls']
       S1_Position05       0052_2F14 ['Pre-irrad_5_141031/MeasurementNo00005.xls', 'Pre-irrad_5_141031/MeasurementNo00198.xls']
       S1_Position06       0050_3F13 ['Pre-irrad_5_141031/MeasurementNo00006.xls', 'Pre-irrad_5_141031/MeasurementNo00199.xls']
       S1_Position07       0052_3F14 ['Pre-irrad_5_141031/MeasurementNo00007.xls', 'Pre-irrad_5_141031/MeasurementNo00200.xls']
       S1_Position08       0050_4F13 ['Pre-irrad_5_141031/MeasurementNo00008.xls', 'Pre-irrad_5_141031/MeasurementNo00201.xls']
       S1_Position09       0052_4F14 ['Pre-irrad_5_141031/MeasurementNo00009.xls', 'Pre-irrad_5_141031/MeasurementNo00202.xls']
       S1_Position10       0100_1F15 ['Pre-irrad_5_141031/MeasurementNo00010.xls', 'Pre-irrad_5_141031/MeasurementNo00203.xls']
       S1_Position11       0102_1F25 ['Pre-irrad_5_141031/MeasurementNo00011.xls', 'Pre-irrad_5_141031/MeasurementNo00204.xls']
       S1_Position12       0100_2F15 ['Pre-irrad_5_141031/MeasurementNo00012.xls', 'Pre-irrad_5_141031/MeasurementNo00205.xls']
       S2_Position01       0102_2F25 ['Pre-irrad_5_141031/MeasurementNo00013.xls', 'Pre-irrad_5_141031/MeasurementNo00206.xls']
       S2_Position02        STD_14_C ['Pre-irrad_5_141031/MeasurementNo00014.xls', 'Pre-irrad_5_141031/MeasurementNo00207.xls']
       S2_Position03       0100_3F15 ['Pre-irrad_5_141031/MeasurementNo00015.xls', 'Pre-irrad_5_141031/MeasurementNo00208.xls']
       S2_Position04       0102_3F25 ['Pre-irrad_5_141031/MeasurementNo00016.xls', 'Pre-irrad_5_141031/MeasurementNo00209.xls']
       S2_Position05       0100_4F15 ['Pre-irrad_5_141031/MeasurementNo00017.xls', 'Pre-irrad_5_141031/MeasurementNo00210.xls']
